,ID,Name,Age,Photo,Nationality,Flag,Potential,Club Logo,Value,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Real Face,Jersey Number,Joined,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,WorkFront,WorkBack
15350,230930,Nuno Malheiro,24,https://cdn.sofifa.org/players/4/19/230930.png,Portugal,https://cdn.sofifa.org/flags/38.png,63,https://cdn.sofifa.org/teams/2/light/111089.png,170000.0,1488,Left,1.0,3.0,2.0,No,70.0,"Jul 1, 2017",5.7,69.09,48.0,48.0,48.0,55.0,52.0,52.0,52.0,55.0,54.0,54.0,54.0,58.0,55.0,55.0,55.0,58.0,60.0,58.0,58.0,58.0,60.0,60.0,57.0,57.0,57.0,60.0,54.0,27.0,39.0,54.0,32.0,61.0,35.0,41.0,56.0,62.0,75.0,65.0,55.0,48.0,80.0,27.0,57.0,68.0,62.0,33.0,42.0,54.0,51.0,44.0,43.0,43.0,59.0,59.0,61.0,8.0,7.0,9.0,5.0,15.0,High, Medium
16250,243959,L. Schneider,18,https://cdn.sofifa.org/players/4/19/243959.png,Germany,https://cdn.sofifa.org/flags/21.png,76,https://cdn.sofifa.org/teams/2/light/162.png,240000.0,1574,Right,1.0,3.0,2.0,No,29.0,"Sep 10, 2017",6.0,77.27,51.0,51.0,51.0,55.0,54.0,54.0,54.0,55.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,58.0,60.0,60.0,60.0,58.0,58.0,59.0,59.0,59.0,58.0,42.0,34.0,45.0,62.0,37.0,59.0,50.0,38.0,59.0,61.0,74.0,67.0,67.0,49.0,71.0,50.0,72.0,64.0,65.0,42.0,64.0,56.0,38.0,50.0,44.0,43.0,55.0,59.0,53.0,9.0,6.0,5.0,13.0,14.0,Medium, Medium
10036,200217,H. Acosta,26,https://cdn.sofifa.org/players/4/19/200217.png,Mexico,https://cdn.sofifa.org/flags/83.png,66,https://cdn.sofifa.org/teams/2/light/1882.png,525000.0,1536,Right,1.0,3.0,2.0,No,13.0,"Jul 14, 2018",5.10,76.36,51.0,51.0,51.0,55.0,52.0,52.0,52.0,55.0,52.0,52.0,52.0,57.0,55.0,55.0,55.0,57.0,65.0,62.0,62.0,62.0,65.0,65.0,64.0,64.0,64.0,65.0,59.0,33.0,56.0,56.0,23.0,55.0,43.0,43.0,55.0,61.0,70.0,73.0,59.0,63.0,65.0,35.0,57.0,61.0,64.0,28.0,55.0,66.0,45.0,32.0,36.0,50.0,62.0,67.0,67.0,15.0,14.0,6.0,6.0,6.0,Low, High
12775,169907,S. Miller,30,https://cdn.sofifa.org/players/4/19/169907.png,England,https://cdn.sofifa.org/flags/14.png,63,https://cdn.sofifa.org/teams/2/light/121.png,350000.0,1597,Right,1.0,3.0,2.0,No,9.0,"Jul 1, 2018",5.8,71.36,63.0,63.0,63.0,62.0,63.0,63.0,63.0,62.0,61.0,61.0,61.0,60.0,54.0,54.0,54.0,60.0,47.0,44.0,44.0,44.0,47.0,45.0,41.0,41.0,41.0,45.0,36.0,64.0,55.0,44.0,57.0,62.0,37.0,45.0,40.0,64.0,80.0,78.0,86.0,61.0,90.0,63.0,62.0,77.0,68.0,54.0,36.0,24.0,57.0,58.0,58.0,60.0,40.0,20.0,15.0,16.0,9.0,16.0,10.0,15.0,Medium, Medium
14885,233052,J. Maddox,19,https://cdn.sofifa.org/players/4/19/233052.png,England,https://cdn.sofifa.org/flags/14.png,77,https://cdn.sofifa.org/teams/2/light/1936.png,450000.0,1466,Right,1.0,3.0,3.0,Yes,20.0,"Nov 5, 2015",5.10,72.27,56.0,56.0,56.0,61.0,59.0,59.0,59.0,61.0,59.0,59.0,59.0,60.0,55.0,55.0,55.0,60.0,50.0,46.0,46.0,46.0,50.0,47.0,39.0,39.0,39.0,47.0,56.0,57.0,28.0,56.0,43.0,64.0,52.0,53.0,53.0,58.0,70.0,69.0,69.0,50.0,67.0,57.0,35.0,59.0,50.0,54.0,36.0,29.0,56.0,55.0,51.0,51.0,30.0,35.0,34.0,9.0,7.0,5.0,11.0,8.0,High, Medium
987,179789,D. Da Silva,30,https://cdn.sofifa.org/players/4/19/179789.png,France,https://cdn.sofifa.org/flags/18.png,77,https://cdn.sofifa.org/teams/2/light/74.png,6500000.0,1651,Right,2.0,4.0,2.0,No,3.0,"Jul 26, 2018",6.0,82.27,52.0,52.0,52.0,53.0,52.0,52.0,52.0,53.0,54.0,54.0,54.0,56.0,60.0,60.0,60.0,56.0,69.0,73.0,73.0,73.0,69.0,72.0,78.0,78.0,78.0,72.0,49.0,25.0,77.0,69.0,36.0,42.0,28.0,31.0,62.0,69.0,57.0,68.0,60.0,64.0,61.0,28.0,73.0,65.0,78.0,41.0,82.0,78.0,39.0,40.0,43.0,73.0,77.0,79.0,77.0,6.0,8.0,12.0,16.0,11.0,Medium, Medium
3235,224263,J. Kenny,21,https://cdn.sofifa.org/players/4/19/224263.png,England,https://cdn.sofifa.org/flags/14.png,79,https://cdn.sofifa.org/teams/2/light/7.png,3700000.0,1787,Right,1.0,3.0,2.0,Yes,43.0,"Jul 18, 2014",5.9,67.27,56.0,56.0,56.0,61.0,59.0,59.0,59.0,61.0,60.0,60.0,60.0,64.0,63.0,63.0,63.0,64.0,72.0,70.0,70.0,70.0,72.0,72.0,72.0,72.0,72.0,72.0,69.0,28.0,64.0,65.0,33.0,63.0,56.0,49.0,60.0,60.0,73.0,72.0,68.0,68.0,71.0,50.0,72.0,71.0,63.0,30.0,74.0,76.0,61.0,55.0,53.0,63.0,71.0,74.0,75.0,6.0,13.0,16.0,13.0,15.0,High, Medium
13186,237350,K. Larson,26,https://cdn.sofifa.org/players/4/19/237350.png,Sweden,https://cdn.sofifa.org/flags/46.png,63,https://cdn.sofifa.org/teams/2/light/113458.png,290000.0,1550,Right,1.0,3.0,2.0,No,3.0,"Mar 29, 2012",5.9,70.0,47.0,47.0,47.0,54.0,50.0,50.0,50.0,54.0,53.0,53.0,53.0,57.0,55.0,55.0,55.0,57.0,63.0,61.0,61.0,61.0,63.0,63.0,61.0,61.0,61.0,63.0,59.0,27.0,50.0,56.0,25.0,55.0,32.0,30.0,55.0,51.0,72.0,66.0,74.0,55.0,71.0,27.0,69.0,85.0,65.0,29.0,75.0,60.0,43.0,51.0,39.0,59.0,59.0,58.0,63.0,8.0,9.0,6.0,13.0,13.0,Medium, Medium
13701,223676,R. Renner,24,https://cdn.sofifa.org/players/4/19/223676.png,Austria,https://cdn.sofifa.org/flags/4.png,64,https://cdn.sofifa.org/teams/2/light/1785.png,375000.0,1516,Left,1.0,3.0,2.0,No,17.0,"Jul 1, 2017",5.11,69.09,56.0,56.0,56.0,62.0,59.0,59.0,59.0,62.0,60.0,60.0,60.0,62.0,56.0,56.0,56.0,62.0,54.0,48.0,48.0,48.0,54.0,52.0,42.0,42.0,42.0,52.0,63.0,55.0,51.0,59.0,45.0,66.0,65.0,43.0,55.0,63.0,72.0,72.0,69.0,52.0,67.0,47.0,34.0,68.0,40.0,47.0,38.0,32.0,48.0,53.0,55.0,45.0,36.0,33.0,38.0,7.0,8.0,13.0,9.0,13.0,Medium, Medium
9654,240067,D. Gomis,25,https://cdn.sofifa.org/players/4/19/240067.png,France,https://cdn.sofifa.org/flags/18.png,67,https://cdn.sofifa.org/teams/2/light/110316.png,775000.0,1598,Right,1.0,3.0,3.0,No,10.0,"Jun 20, 2017",5.8,68.18,62.0,62.0,62.0,67.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,66.0,61.0,61.0,61.0,66.0,54.0,51.0,51.0,51.0,54.0,52.0,47.0,47.0,47.0,52.0,61.0,65.0,45.0,64.0,41.0,70.0,52.0,46.0,62.0,68.0,72.0,70.0,64.0,56.0,68.0,51.0,58.0,51.0,56.0,61.0,43.0,23.0,65.0,59.0,53.0,59.0,34.0,47.0,46.0,6.0,14.0,7.0,13.0,7.0,Medium, Medium
8381,203431,Leandro,25,https://cdn.sofifa.org/players/4/19/203431.png,Brazil,https://cdn.sofifa.org/flags/54.png,69,https://cdn.sofifa.org/teams/2/light/101147.png,925000.0,1739,Right,1.0,4.0,3.0,No,11.0,"Jan 6, 2018",5.10,76.36,69.0,69.0,69.0,69.0,68.0,68.0,68.0,69.0,68.0,68.0,68.0,68.0,62.0,62.0,62.0,68.0,52.0,51.0,51.0,51.0,52.0,49.0,46.0,46.0,46.0,49.0,63.0,72.0,62.0,63.0,63.0,66.0,60.0,40.0,60.0,64.0,77.0,75.0,76.0,62.0,74.0,69.0,59.0,70.0,73.0,62.0,69.0,27.0,66.0,67.0,63.0,58.0,46.0,20.0,12.0,15.0,7.0,12.0,10.0,15.0,Medium, Medium
4394,158089,P. Ledesma,34,https://cdn.sofifa.org/players/4/19/158089.png,Argentina,https://cdn.sofifa.org/flags/52.png,71,https://cdn.sofifa.org/teams/2/light/110581.png,725000.0,1856,Right,1.0,3.0,3.0,No,27.0,"Jul 23, 2018",5.10,79.09,64.0,64.0,64.0,65.0,66.0,66.0,66.0,65.0,69.0,69.0,69.0,67.0,72.0,72.0,72.0,67.0,67.0,71.0,71.0,71.0,67.0,66.0,68.0,68.0,68.0,66.0,63.0,45.0,64.0,81.0,58.0,66.0,62.0,59.0,74.0,70.0,52.0,49.0,64.0,71.0,65.0,70.0,66.0,69.0,74.0,58.0,76.0,64.0,62.0,74.0,64.0,73.0,60.0,65.0,64.0,10.0,9.0,8.0,11.0,9.0,Medium, Medium
2414,189600,J. Hušbauer,28,https://cdn.sofifa.org/players/4/19/189600.png,Czech Republic,https://cdn.sofifa.org/flags/12.png,74,https://cdn.sofifa.org/teams/2/light/266.png,5500000.0,1918,Right,1.0,4.0,3.0,No,5.0,"Jan 1, 2016",6.0,76.36,67.0,67.0,67.0,71.0,71.0,71.0,71.0,71.0,73.0,73.0,73.0,72.0,74.0,74.0,74.0,72.0,69.0,68.0,68.0,68.0,69.0,67.0,61.0,61.0,61.0,67.0,76.0,61.0,49.0,74.0,70.0,71.0,72.0,73.0,77.0,75.0,63.0,61.0,67.0,70.0,67.0,79.0,59.0,77.0,58.0,82.0,55.0,65.0,62.0,76.0,67.0,68.0,47.0,60.0,65.0,10.0,8.0,10.0,6.0,6.0,High, High
13001,221167,C. Dummigan,22,https://cdn.sofifa.org/players/4/19/221167.png,Northern Ireland,https://cdn.sofifa.org/flags/35.png,72,https://cdn.sofifa.org/teams/2/light/1920.png,475000.0,1559,Right,1.0,3.0,2.0,No,2.0,"Sep 1, 2016",5.11,70.0,51.0,51.0,51.0,56.0,53.0,53.0,53.0,56.0,54.0,54.0,54.0,59.0,55.0,55.0,55.0,59.0,64.0,59.0,59.0,59.0,64.0,64.0,61.0,61.0,61.0,64.0,60.0,30.0,58.0,52.0,25.0,62.0,45.0,33.0,49.0,59.0,73.0,72.0,73.0,52.0,69.0,42.0,70.0,78.0,61.0,32.0,50.0,60.0,45.0,50.0,36.0,50.0,62.0,63.0,61.0,9.0,7.0,8.0,6.0,7.0,High, Medium
15646,242095,J. Falkmar,26,https://cdn.sofifa.org/players/4/19/242095.png,Sweden,https://cdn.sofifa.org/flags/46.png,60,https://cdn.sofifa.org/teams/2/light/111705.png,150000.0,1493,Right,1.0,3.0,2.0,No,15.0,"Mar 28, 2017",6.1,80.0,50.0,50.0,50.0,52.0,51.0,51.0,51.0,52.0,53.0,53.0,53.0,55.0,54.0,54.0,54.0,55.0,58.0,58.0,58.0,58.0,58.0,59.0,60.0,60.0,60.0,59.0,48.0,31.0,58.0,57.0,32.0,48.0,41.0,31.0,54.0,50.0,70.0,69.0,58.0,53.0,57.0,36.0,62.0,67.0,68.0,35.0,56.0,54.0,52.0,51.0,33.0,49.0,58.0,59.0,57.0,12.0,9.0,6.0,12.0,9.0,Medium, Medium
12968,228325,O. Berg,24,https://cdn.sofifa.org/players/4/19/228325.png,Norway,https://cdn.sofifa.org/flags/36.png,68,https://cdn.sofifa.org/teams/2/light/1596.png,475000.0,1691,Right,1.0,3.0,3.0,No,18.0,"Aug 11, 2018",5.10,74.09,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0,65.0,62.0,60.0,60.0,60.0,62.0,60.0,54.0,54.0,54.0,60.0,59.0,59.0,42.0,65.0,41.0,64.0,54.0,40.0,57.0,63.0,68.0,69.0,67.0,57.0,70.0,70.0,55.0,87.0,61.0,64.0,40.0,57.0,59.0,61.0,49.0,61.0,45.0,55.0,48.0,10.0,14.0,13.0,12.0,16.0,High, High
5303,228509,J. Reine-Adélaïde,20,https://cdn.sofifa.org/players/4/19/228509.png,France,https://cdn.sofifa.org/flags/18.png,82,https://cdn.sofifa.org/teams/2/light/1530.png,3200000.0,1768,Right,1.0,3.0,3.0,No,22.0,"Jul 26, 2018",6.0,75.0,68.0,68.0,68.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,71.0,72.0,68.0,68.0,68.0,72.0,61.0,58.0,58.0,58.0,61.0,59.0,52.0,52.0,52.0,59.0,61.0,57.0,58.0,71.0,50.0,76.0,56.0,45.0,66.0,73.0,81.0,78.0,82.0,68.0,64.0,66.0,67.0,67.0,65.0,54.0,51.0,49.0,69.0,66.0,55.0,65.0,20.0,46.0,47.0,10.0,15.0,11.0,16.0,8.0,High, Medium
6619,198147,M. van der Maarel,28,https://cdn.sofifa.org/players/4/19/198147.png,Netherlands,https://cdn.sofifa.org/flags/34.png,68,https://cdn.sofifa.org/teams/2/light/1903.png,700000.0,1731,Right,1.0,3.0,2.0,No,2.0,"Jul 1, 2009",5.10,74.09,56.0,56.0,56.0,58.0,58.0,58.0,58.0,58.0,59.0,59.0,59.0,60.0,62.0,62.0,62.0,60.0,67.0,68.0,68.0,68.0,67.0,69.0,70.0,70.0,70.0,69.0,56.0,37.0,62.0,57.0,42.0,53.0,42.0,40.0,61.0,63.0,68.0,69.0,70.0,67.0,75.0,58.0,74.0,69.0,64.0,42.0,74.0,73.0,50.0,60.0,50.0,68.0,69.0,72.0,72.0,9.0,8.0,10.0,7.0,8.0,Medium, Medium
7070,183920,R. Sukuta-Pasu,28,https://cdn.sofifa.org/players/4/19/183920.png,Germany,https://cdn.sofifa.org/flags/21.png,68,https://cdn.sofifa.org/teams/2/light/1825.png,925000.0,1679,Right,1.0,4.0,2.0,No,19.0,"Jul 1, 2018",6.3,91.36,69.0,69.0,69.0,64.0,65.0,65.0,65.0,64.0,62.0,62.0,62.0,63.0,58.0,58.0,58.0,63.0,52.0,51.0,51.0,51.0,52.0,51.0,50.0,50.0,50.0,51.0,54.0,61.0,66.0,58.0,62.0,62.0,55.0,49.0,43.0,66.0,69.0,75.0,60.0,66.0,50.0,80.0,64.0,76.0,90.0,62.0,69.0,32.0,65.0,50.0,66.0,69.0,15.0,41.0,23.0,7.0,8.0,9.0,15.0,11.0,High, Medium
5822,230194,Jaimosa Cavaco,30,https://cdn.sofifa.org/players/4/19/230194.png,Brazil,https://cdn.sofifa.org/flags/54.png,69,https://cdn.sofifa.org/teams/2/light/1719.png,750000.0,1710,Right,1.0,3.0,2.0,No,15.0,"Jan 1, 2018",5.6,60.0,59.0,59.0,59.0,61.0,57.0,57.0,57.0,61.0,56.0,56.0,56.0,61.0,56.0,56.0,56.0,61.0,69.0,61.0,61.0,61.0,69.0,69.0,62.0,62.0,62.0,69.0,72.0,75.0,58.0,56.0,70.0,50.0,46.0,31.0,47.0,53.0,74.0,75.0,70.0,69.0,84.0,43.0,40.0,84.0,33.0,63.0,55.0,70.0,42.0,35.0,50.0,73.0,68.0,62.0,69.0,12.0,10.0,18.0,12.0,14.0,Low, Medium
14577,232930,M. Kamekawa,25,https://cdn.sofifa.org/players/4/19/232930.png,Japan,https://cdn.sofifa.org/flags/163.png,65,https://cdn.sofifa.org/teams/2/light/101145.png,270000.0,1499,Right,1.0,4.0,2.0,No,39.0,"Jan 6, 2018",5.9,64.09,51.0,51.0,51.0,54.0,51.0,51.0,51.0,54.0,50.0,50.0,50.0,56.0,51.0,51.0,51.0,56.0,62.0,57.0,57.0,57.0,62.0,62.0,59.0,59.0,59.0,62.0,56.0,29.0,60.0,52.0,26.0,58.0,44.0,29.0,41.0,59.0,77.0,74.0,70.0,60.0,67.0,46.0,49.0,83.0,63.0,32.0,67.0,54.0,35.0,29.0,26.0,57.0,51.0,59.0,55.0,9.0,10.0,13.0,8.0,8.0,Medium, Medium
4646,142818,F. Cubero,39,https://cdn.sofifa.org/players/4/19/142818.png,Argentina,https://cdn.sofifa.org/flags/52.png,71,https://cdn.sofifa.org/teams/2/light/101088.png,160000.0,1796,Right,1.0,2.0,2.0,No,5.0,"Jul 1, 2008",5.9,72.27,61.0,61.0,61.0,62.0,62.0,62.0,62.0,62.0,63.0,63.0,63.0,61.0,65.0,65.0,65.0,61.0,65.0,69.0,69.0,69.0,65.0,66.0,72.0,72.0,72.0,66.0,64.0,47.0,68.0,66.0,58.0,60.0,48.0,48.0,63.0,68.0,52.0,47.0,65.0,75.0,73.0,57.0,71.0,38.0,68.0,59.0,79.0,71.0,54.0,65.0,65.0,68.0,75.0,69.0,70.0,11.0,8.0,16.0,9.0,9.0,Low, Medium
11720,242608,Y. Shimada,27,https://cdn.sofifa.org/players/4/19/242608.png,Japan,https://cdn.sofifa.org/flags/163.png,65,https://cdn.sofifa.org/teams/2/light/112448.png,425000.0,1612,Left,1.0,2.0,2.0,No,15.0,"Jan 1, 2017",5.9,76.36,54.0,54.0,54.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,59.0,61.0,61.0,61.0,59.0,62.0,64.0,64.0,64.0,62.0,62.0,63.0,63.0,63.0,62.0,51.0,38.0,56.0,63.0,32.0,55.0,36.0,35.0,61.0,65.0,58.0,62.0,69.0,63.0,68.0,56.0,65.0,76.0,68.0,43.0,74.0,59.0,41.0,53.0,41.0,53.0,55.0,64.0,57.0,12.0,11.0,11.0,8.0,6.0,Medium, Medium
2613,177922,K. Grosicki,30,https://cdn.sofifa.org/players/4/19/177922.png,Poland,https://cdn.sofifa.org/flags/37.png,73,https://cdn.sofifa.org/teams/2/light/1952.png,3800000.0,1868,Right,2.0,3.0,3.0,Yes,11.0,"Jan 31, 2017",5.11,78.18,73.0,73.0,73.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,73.0,69.0,69.0,69.0,73.0,58.0,56.0,56.0,56.0,58.0,55.0,49.0,49.0,49.0,55.0,70.0,68.0,69.0,68.0,72.0,70.0,69.0,71.0,71.0,74.0,86.0,77.0,80.0,70.0,70.0,74.0,52.0,61.0,66.0,75.0,43.0,48.0,72.0,73.0,68.0,68.0,36.0,29.0,20.0,16.0,10.0,15.0,14.0,11.0,Medium, Low
2151,177448,G. Svensson,31,https://cdn.sofifa.org/players/4/19/177448.png,Sweden,https://cdn.sofifa.org/flags/46.png,74,https://cdn.sofifa.org/teams/2/light/111144.png,3800000.0,1774,Right,1.0,2.0,3.0,No,18.0,"Jan 30, 2017",6.0,77.27,59.0,59.0,59.0,59.0,61.0,61.0,61.0,59.0,63.0,63.0,63.0,63.0,70.0,70.0,70.0,63.0,70.0,75.0,75.0,75.0,70.0,70.0,74.0,74.0,74.0,70.0,49.0,34.0,65.0,75.0,45.0,64.0,55.0,33.0,69.0,70.0,52.0,44.0,48.0,74.0,59.0,66.0,73.0,87.0,77.0,47.0,82.0,73.0,50.0,64.0,45.0,72.0,69.0,73.0,72.0,15.0,12.0,11.0,16.0,6.0,Low, Medium
11016,190983,R. Kiernan,27,https://cdn.sofifa.org/players/4/19/190983.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,64,https://cdn.sofifa.org/teams/2/light/1954.png,375000.0,1474,Right,1.0,3.0,2.0,No,15.0,"Aug 3, 2017",6.1,77.27,45.0,45.0,45.0,46.0,45.0,45.0,45.0,46.0,47.0,47.0,47.0,49.0,50.0,50.0,50.0,49.0,58.0,60.0,60.0,60.0,58.0,60.0,65.0,65.0,65.0,60.0,46.0,19.0,64.0,53.0,32.0,43.0,40.0,33.0,51.0,45.0,65.0,62.0,54.0,56.0,54.0,39.0,71.0,58.0,76.0,32.0,68.0,62.0,28.0,49.0,30.0,52.0,63.0,64.0,63.0,6.0,11.0,10.0,12.0,15.0,Medium, Medium
12482,239724,S. Puttkammer,29,https://cdn.sofifa.org/players/4/19/239724.png,Germany,https://cdn.sofifa.org/flags/21.png,63,https://cdn.sofifa.org/teams/2/light/110597.png,290000.0,1398,Right,1.0,2.0,2.0,No,22.0,"Jul 1, 2017",6.4,81.36,44.0,44.0,44.0,41.0,43.0,43.0,43.0,41.0,45.0,45.0,45.0,46.0,53.0,53.0,53.0,46.0,56.0,64.0,64.0,64.0,56.0,59.0,66.0,66.0,66.0,59.0,21.0,19.0,65.0,62.0,27.0,29.0,29.0,27.0,60.0,55.0,61.0,46.0,42.0,64.0,58.0,39.0,70.0,67.0,81.0,16.0,68.0,66.0,27.0,38.0,34.0,68.0,62.0,63.0,57.0,8.0,6.0,10.0,15.0,6.0,Medium, Medium
2422,158372,I. Afellay,32,https://cdn.sofifa.org/players/4/19/158372.png,Netherlands,https://cdn.sofifa.org/flags/34.png,74,https://cdn.sofifa.org/teams/2/light/1806.png,4400000.0,1932,Right,2.0,4.0,4.0,No,14.0,"Jul 27, 2015",5.11,76.36,70.0,70.0,70.0,74.0,73.0,73.0,73.0,74.0,75.0,75.0,75.0,73.0,73.0,73.0,73.0,73.0,66.0,66.0,66.0,66.0,66.0,64.0,60.0,60.0,60.0,64.0,74.0,67.0,46.0,77.0,72.0,77.0,78.0,75.0,72.0,78.0,72.0,64.0,74.0,71.0,77.0,74.0,73.0,47.0,62.0,68.0,51.0,62.0,67.0,72.0,70.0,76.0,36.0,67.0,58.0,14.0,7.0,10.0,12.0,8.0,Medium, Medium
2500,192202,Bruno César,29,https://cdn.sofifa.org/players/4/19/192202.png,Brazil,https://cdn.sofifa.org/flags/54.png,74,https://cdn.sofifa.org/teams/2/light/237.png,5500000.0,2048,Left,1.0,3.0,3.0,No,11.0,"Jan 4, 2016",5.10,75.0,73.0,73.0,73.0,75.0,75.0,75.0,75.0,75.0,76.0,76.0,76.0,75.0,76.0,76.0,76.0,75.0,71.0,73.0,73.0,73.0,71.0,69.0,69.0,69.0,69.0,69.0,79.0,70.0,58.0,79.0,74.0,80.0,82.0,82.0,77.0,79.0,60.0,61.0,65.0,70.0,77.0,84.0,54.0,53.0,68.0,78.0,76.0,69.0,70.0,77.0,69.0,75.0,66.0,66.0,65.0,16.0,16.0,7.0,13.0,8.0,Medium, Medium
10938,223224,M. Jakoliš,21,https://cdn.sofifa.org/players/4/19/223224.png,Croatia,https://cdn.sofifa.org/flags/10.png,72,https://cdn.sofifa.org/teams/2/light/111821.png,775000.0,1522,Right,1.0,3.0,2.0,No,44.0,"Jul 12, 2017",6.0,77.27,65.0,65.0,65.0,66.0,65.0,65.0,65.0,66.0,64.0,64.0,64.0,63.0,56.0,56.0,56.0,63.0,45.0,40.0,40.0,40.0,45.0,42.0,37.0,37.0,37.0,42.0,65.0,66.0,64.0,62.0,59.0,66.0,45.0,43.0,42.0,61.0,65.0,69.0,71.0,65.0,68.0,62.0,67.0,44.0,63.0,60.0,33.0,12.0,62.0,62.0,54.0,60.0,14.0,19.0,13.0,12.0,8.0,11.0,6.0,9.0,Medium, Medium
5707,234002,Caio Tafarell,26,https://cdn.sofifa.org/players/4/19/234002.png,Brazil,https://cdn.sofifa.org/flags/54.png,69,https://cdn.sofifa.org/teams/2/light/1719.png,925000.0,1806,Right,1.0,3.0,2.0,No,16.0,"Jan 1, 2018",6.0,76.36,61.0,61.0,61.0,58.0,60.0,60.0,60.0,58.0,62.0,62.0,62.0,60.0,66.0,66.0,66.0,60.0,65.0,70.0,70.0,70.0,65.0,66.0,69.0,69.0,69.0,66.0,41.0,42.0,64.0,72.0,61.0,49.0,52.0,56.0,72.0,58.0,66.0,64.0,68.0,67.0,63.0,75.0,71.0,73.0,72.0,60.0,68.0,66.0,55.0,64.0,49.0,74.0,68.0,70.0,68.0,13.0,13.0,7.0,8.0,11.0,Medium, Medium
1433,182941,P. Aguilar,31,https://cdn.sofifa.org/players/4/19/182941.png,Paraguay,https://cdn.sofifa.org/flags/58.png,76,https://cdn.sofifa.org/teams/2/light/1878.png,5000000.0,1781,Right,1.0,3.0,2.0,No,2.0,"Jul 1, 2018",5.11,80.0,59.0,59.0,59.0,55.0,56.0,56.0,56.0,55.0,57.0,57.0,57.0,56.0,61.0,61.0,61.0,56.0,66.0,71.0,71.0,71.0,66.0,69.0,77.0,77.0,77.0,69.0,40.0,50.0,80.0,58.0,50.0,50.0,48.0,35.0,62.0,62.0,67.0,64.0,60.0,69.0,60.0,64.0,91.0,64.0,80.0,49.0,88.0,77.0,28.0,58.0,51.0,78.0,77.0,74.0,70.0,15.0,12.0,13.0,9.0,6.0,Medium, High
12744,225962,M. Palacios,21,https://cdn.sofifa.org/players/4/19/225962.png,Colombia,https://cdn.sofifa.org/flags/56.png,74,https://cdn.sofifa.org/teams/2/light/112019.png,625000.0,1679,Right,1.0,3.0,2.0,No,10.0,"Oct 30, 2014",5.9,70.0,57.0,57.0,57.0,64.0,61.0,61.0,61.0,64.0,63.0,63.0,63.0,65.0,60.0,60.0,60.0,65.0,58.0,53.0,53.0,53.0,58.0,56.0,47.0,47.0,47.0,56.0,69.0,52.0,48.0,66.0,34.0,63.0,62.0,68.0,62.0,55.0,80.0,82.0,87.0,53.0,74.0,50.0,73.0,73.0,47.0,50.0,55.0,42.0,57.0,64.0,52.0,61.0,28.0,38.0,45.0,13.0,6.0,7.0,15.0,9.0,Medium, Low
15996,232285,J. Doona,20,https://cdn.sofifa.org/players/4/19/232285.png,Republic of Ireland,https://cdn.sofifa.org/flags/25.png,70,https://cdn.sofifa.org/teams/2/light/423.png,230000.0,1543,Right,1.0,3.0,2.0,No,12.0,"Dec 12, 2017",5.10,64.09,55.0,55.0,55.0,57.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,58.0,56.0,56.0,56.0,58.0,53.0,51.0,51.0,51.0,53.0,52.0,47.0,47.0,47.0,52.0,53.0,52.0,48.0,54.0,47.0,58.0,52.0,50.0,53.0,57.0,65.0,64.0,72.0,45.0,62.0,55.0,58.0,74.0,54.0,49.0,57.0,43.0,53.0,56.0,53.0,52.0,20.0,49.0,48.0,6.0,12.0,12.0,6.0,6.0,Medium, Medium
16217,239330,Y. Emghames,20,https://cdn.sofifa.org/players/4/19/239330.png,Germany,https://cdn.sofifa.org/flags/21.png,71,https://cdn.sofifa.org/teams/2/light/485.png,250000.0,1419,Left,1.0,3.0,3.0,No,16.0,"Jul 1, 2017",5.9,69.09,53.0,53.0,53.0,59.0,56.0,56.0,56.0,59.0,57.0,57.0,57.0,58.0,52.0,52.0,52.0,58.0,45.0,42.0,42.0,42.0,45.0,43.0,36.0,36.0,36.0,43.0,55.0,51.0,40.0,54.0,50.0,67.0,57.0,47.0,51.0,60.0,68.0,67.0,78.0,46.0,76.0,45.0,34.0,45.0,44.0,44.0,38.0,21.0,47.0,52.0,53.0,50.0,23.0,30.0,25.0,13.0,10.0,8.0,13.0,7.0,Medium, Medium
